,state/prov,F/M,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,description,rmpc_region,rmpc_basin,Rec area-W,Rec area.Shelton,Rec area.Shelton2,Rec area.Shelton3,Rec.area.Sullaway.Shelton,Rec.area.GS.nmfs
9075,3,M,3M105  X1  X11,1,11 PLUS 10,NA,NA,MPSG,MPS,COMMERCIAL AREA 11 COMBINED WITH AREA 10,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9076,3,M,3M10510,1,10  (SEATTLE),NA,NA,MPSG,MPS,SEATTLE/SHILSHOLE/KINGSTON/BAINBRIDGE - COMMERCIAL AREA 10GE,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9077,3,M,3M10510  888101 H,1,LITTLE CLAM BAY PENS,NA,NA,EKPN,MPS,LITTLE CLAM BAY SEAPENS                    (OLD CODED AREA  87),MPS,EKPN,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9078,3,M,3M10510  888102 H,1,MANCHESTER FUEL DEPT,NA,NA,EKPN,MPS,MANCHESTER FUEL DEPT SEAPENS,MPS,EKPN,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9079,3,M,3M10510  888103 H,1,DOMSEA SEAPENS,NA,NA,MPSG,MPS,DOMSEA SEAPENS (OLD CODE - USE 3M10510  888102 = MANCHESTER FUEL DEPT),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9080,3,M,3M10510  888105 H,1,ELLIOTT BAY SEAPENS,NA,NA,DUWA,MPS,ELLIOTT BAY PENS (NW STEELHEADERS),MPS,DUWA,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9081,3,M,3M10510  888106 H,1,AGATE PASS SEA PENS,NA,NA,EKPN,MPS,AGATE PASS SEA PENS  (SUQUAMISH TRIBE),MPS,EKPN,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9082,3,M,3M10510  A,1,ELLIOTT BAY      10A,NA,NA,MPSG,MPS,ELLIOTT BAY                (10A),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9083,3,M,3M10510  B,1,SHILSHOLE-N LK WA10B,NA,NA,LAKW,MPS,SHILSHOLE BAY/SHIP CANAL/N LAKE WA  (10B) USED BEFORE 1984 ONLY,MPS,LAKW,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9084,3,M,3M10510  E,1,EAST KITSAP      10E,NA,NA,MPSG,MPS,EAST KITSAP (PORT ORCHARD) (10E),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9085,3,M,3M10510  Z,1,PUGET SOUND   (9-13),NA,NA,WAGNG,WAGN,PUGET SOUND MIXED (9-13)   (10Z) (10F BEFORE 1985)   < NOT HIERARCHICAL>,WAGN,WAGNG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9086,3,M,3M10510X1,1,10B & 10C & 10D,NA,NA,MPSG,MPS,COMBINATION OF 10B  10C  & 10D  (ONLY USED PRIOR TO 1984),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9087,3,M,3M10510X1  X10B,1,10B PLUS 10C & 10D,NA,NA,MPSG,MPS,10B COMBINED WITH 10C & 10D     (ONLY USED PRIOR TO 1984),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9088,3,M,3M10510X1  X10C,1,10C PLUS 10B & 10D,NA,NA,MPSG,MPS,10C COMBINED WITH 10B  & 10D    (ONLY USED PRIOR TO 1984),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9089,3,M,3M10510X1  X10D,1,10D PLUS 10B & 10C,NA,NA,MPSG,MPS,10D COMBINED WITH 10B  & 10C    (ONLY USED PRIOR TO 1984),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9090,3,M,3M10510X2,1,10 & 10A,NA,NA,MPSG,MPS,COMBINATION OF 10 & 10A,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9091,3,M,3M10510X2  X10,1,10 PLUS 10A,NA,NA,MPSG,MPS,10 COMBINED WITH 10A,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9092,3,M,3M10510X2  X10A,1,10A PLUS 10,NA,NA,MPSG,MPS,10A COMBINED WITH 10,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9093,3,M,3M10510X3,1,10B & 10D,NA,NA,MPSG,MPS,COMBINATION OF 10B & 10D (CODE USED ONLY FOR HISTORICAL DATA),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9094,3,M,3M10510X3  X10B,1,10B PLUS 10D,NA,NA,MPSG,MPS,10B COMBINED WITH 10D    (CODE USED ONLY FOR HISTORICAL DATA),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9095,3,M,3M10510X3  X10D,1,10D PLUS 10B,NA,NA,MPSG,MPS,10D COMBINED WITH 10B    (CODE USED ONLY FOR HISTORICAL DATA),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9096,3,M,3M10510X4,1,10 & 10B(OLD) & 10E,NA,NA,MPSG,MPS,COMBINATION OF 10  10B(OLD)  & 10E  (CODE USED ONLY FOR HISTORICAL DATA),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9097,3,M,3M10510X4  X10,1,10 PLUS 10B & 10E,NA,NA,MPSG,MPS,10 COMBINED WITH 10B(OLD)  & 10E  (CODE USED ONLY FOR HISTORICAL DATA),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9098,3,M,3M10510X4  X10B,1,10B PLUS 10E & 10,NA,NA,MPSG,MPS,10B(OLD) COMBINED WITH 10E & 10  (CODE USED ONLY FOR HISTORICAL DATA),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9099,3,M,3M10510X4  X10E,1,10E PLUS 10B & 10,NA,NA,MPSG,MPS,10E COMBINED WITH 10B(OLD)  & 10  (CODE USED ONLY FOR HISTORICAL DATA),MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9100,3,M,3M10510X5,1,10 & 10E,NA,NA,MPSG,MPS,COMBINATION OF 10 & 10E,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9101,3,M,3M10510X5  X10,1,10 PLUS 10E,NA,NA,MPSG,MPS,10 COMBINED WITH 10E,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9102,3,M,3M10510X5  X10E,1,10E PLUS 10,NA,NA,MPSG,MPS,10E COMBINED WITH 10,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
