"","ID","ocean.region","brood_year","release_year","Median.month.release","N.released","n_month","m.median","m.mean","m.sd","X2.5.","X5.","X10.","X25.","X50.","X75.","X90.","X95.","X97.5."
"110","Mad_large","NCA",2001,2002,11,31101,4,2.53471164130667,2.53471164130667,0.400116624080947,1.88458499331499,1.9532467417398,2.02686680335659,2.28488056320045,2.53471164130667,2.79299907801718,3.10832991478471,3.27807552337718,3.36574144229309
"111","Merced","SFB",1987,1988,4,140463,11,2.51792332618298,2.51792332618298,0.367576027093224,1.87469123634243,1.9490368518941,2.06982121499041,2.26967374677938,2.51792332618298,2.76276238854618,2.98924979108827,3.14860053045801,3.31131404957178
"112","Merced","SFB",1988,1989,4.5,451104,10.5,3.01596269322758,3.01596269322758,0.447909945590893,2.23111525065201,2.3299813907198,2.49685537315241,2.73700858918451,3.01596269322758,3.340488156514,3.67619051763743,3.84220481892208,3.93897587499583
"113","Merced","SFB",1989,1990,4,93653,11,2.70439359627524,2.70439359627524,0.398182834893165,2.02972648655651,2.12879414530319,2.25229701557086,2.45818921931363,2.70439359627524,2.98801440470573,3.25302589557649,3.43409833578824,3.58353808364292
"114","Merced","SFB",1993,1994,4,312297,11,2.38837572528226,2.38837572528226,0.333727805870886,1.76724713322752,1.83221357363166,1.94742561569563,2.13659846200083,2.38837572528226,2.61194664085198,2.82202157404317,2.92312016781082,3.0268314819292
"115","Merced","SFB",1995,1996,4.5,409629,10.5,2.68087885581181,2.68087885581181,0.412211381807192,1.93842185139862,2.03418928536473,2.18553521650517,2.40278334808595,2.68087885581181,2.95219183028748,3.26291551232147,3.44024209622843,3.55110866415365
"116","Merced","SFB",1996,1997,4.5,836978,10.5,2.64094513386526,2.64094513386526,0.391610523128606,2.01216171914228,2.08416478848237,2.17651269126509,2.41744560463055,2.64094513386526,2.92655607952704,3.24468419869211,3.35519521969596,3.44403485813775
"117","Merced","SFB",1997,1998,4,347117,11,2.37488920958832,2.37488920958832,0.324549385966855,1.78613539485078,1.87796511951735,1.97456625872249,2.16068358703728,2.37488920958832,2.58680380275595,2.82593672422918,2.94645536471291,3.04617577643668
"118","Merced","SFB",1998,1999,5,680430,10,2.50024346984102,2.50024346984102,0.35102349105948,1.89852094135791,1.95041320795055,2.06365744604294,2.26098179054954,2.50024346984102,2.75841471684944,2.9987745896067,3.1274829120838,3.2176688989131
"119","Merced","SFB",1999,2000,4.5,479146,10.5,2.34040423656241,2.34040423656241,0.35721220918849,1.70629464884399,1.78400628020405,1.91045806397658,2.09746125361364,2.34040423656241,2.59306773597968,2.87415299360422,2.99194804954116,3.06418293701807
