Fishery,Year,Vessel Name ,ADFG ,USCG ,AFA ,Inshore ,Co-op ,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,BRISTOL EXPLORER,55923,647985,3007,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CAITLIN ANN,59779,960836,3800,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CALIFORNIA HORIZON,33697,590758,412,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CAPE KIWANDA,61432,618158,1235,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CHELSEA K,62906,976753,4620,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,COLLIER BROTHERS,54648,593809,2791,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,COLUMBIA,39056,615729,1228,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,COMMODORE,53843,914214,2657,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,DEFENDER,56676,554030,3257,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,DESTINATION,60655,571879,3988,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,DOMINATOR,08668,602309,411,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,DONA MARTITA,51672,651751,2047,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ELIZABETH F,14767,526037,823,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,EXCALIBUR II,54653,636602,410,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,EXODUS,33112,598666,1249,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,FIERCE ALLEGIANCE,55111,588849,4133,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,FORUM STAR,59687,925863,4245,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,GLADIATOR,32473,598380,1318,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,GOLD RUSH,40309,521106,1868,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,GOLDEN DAWN,35687,604315,1292,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,GOLDEN PISCES,32817,599585,586,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,GREAT PACIFIC,37660,608458,511,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,GUN-MAR,41312,640130,425,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,HALF MOON BAY,39230,615796,249,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,HAZEL LORRAINE,57117,592211,523,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,HICKORY WIND,47795,594154,993,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,INTREPID EXPLORER,64105,988598,4993,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,LESLIE LEE,56119,584873,1234,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,LISA MELINDA,41520,584360,4506,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MAJESTY,60650,962718,3996,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MAR-GUN,12110,525608,524,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MARCY J,00055,517024,2142,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MARGARET LYN,31672,615563,723,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MARK I,06440,509552,1242,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MESSIAH,66196,610150,6081,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MISS BERDIE,59123,913277,3679,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MISTY DAWN,68858,926647,5946,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MORNING STAR,38431,610393,208,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MORNING STAR,41009,618797,7270,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MORNING STAR,70323,1037811,6204,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MS AMY,56164,920936,2904,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,MUIR MILACH,41021,611524,480,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,NEAHKAHNIE,32858,599534,424,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,NORDIC EXPLORER,51092,678234,3009,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,NORDIC FURY,00200,542651,1094,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,NORDIC STAR,00961,584684,428,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,NORTHERN PATRIOT,55153,637744,2769,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,NORTHWEST EXPLORER,36808,609384,3002,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,OCEAN EXPLORER,51073,678236,3011,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,OCEAN HARVESTER,00101,549892,5130,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,OCEAN HOPE 3,48173,652397,1623,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,OCEAN LEADER,00032,561518,1229,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,OCEANIC,03404,602279,1667,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC CHALLENGER,06931,518937,657,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC EXPLORER,50759,678237,3010,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC FURY,00033,561934,421,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC KNIGHT,54643,561771,2783,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC MONARCH,54645,557467,2785,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC PRINCE,61450,697280,4194,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC RAM,61792,589115,4305,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PACIFIC VIKING,00047,555058,422,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PEGASUS,57149,565120,1265,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PEGGY JO,09200,502779,979,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PERSEVERANCE,12668,536873,2837,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,POPADO II,55512,536161,2087,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,POSEIDON,37036,610436,1164,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PREDATOR,33744,547390,1275,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PROGRESS,00006,565349,512,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,PROVIDIAN,70709,1062183,6308,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,RAVEN,56395,629499,1236,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ROYAL AMERICAN,40840,624371,543,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ROYAL ATLANTIC,00046,559271,236,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,SEA STORM,40969,628959,420,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,SEA WOLF,35957,609823,1652,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,SEADAWN,00077,548685,2059,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,SEEKER,59476,924585,2849,AKUTAN,101,,,,,,,,,,,,,,,,,,
